字彙	詞類	中文	註解	級數	學術字彙
aware	adj.	意識到、發覺、有...意識的		Elementary	L5
away	adv.	去別處、(距此)...遠、逐漸消失		Elementary	
awe	noun/verb	敬畏、驚嘆		High-Intermediate	
awesome	adj.	令人驚嘆的、很棒的		High-Intermediate	
awful	adj.	很壞的、糟糕的、令人不愉快的		Intermediate	
awhile	adv.	一會兒		High-Intermediate	
awkward	adj.	令人尷尬的；難對付的；笨拙的		Intermediate	
ax	verb	用斧頭劈、砍掉；裁減、撤銷、開除	= axe (British English)	Intermediate	
ax	noun	斧頭；裁減、解雇	= axe (British English)	Intermediate	
axis	noun	軸、軸線		High-Intermediate	
baby	noun	嬰兒、幼稚的人、(暱稱)寶貝		Elementary	
babysit	verb	當臨時保姆	= baby-sit	Elementary	
babysitter	noun	保姆	= baby-sitter=baby sitter	Elementary	
bachelor	noun	單身漢；學士		High-Intermediate	
back	noun/adj.	背部、後面；背部的、後面的		Elementary	
back	adv.	回原處、返回、向後、在背面		Elementary	
back	verb	贊助、支持；使倒退、後退		Elementary	
backbone	noun	脊椎、脊骨；支柱、基礎		High-Intermediate	
background	noun	背景		Intermediate	
backing	noun	支持、援助、資助		High-Intermediate	
backpack	noun/verb	背包；背包旅行		High-Intermediate	
backward	adv./adj.	向後地、倒退地；向後的、倒退的、落後的	adv.= backwards (British English)	Elementary	
bacon	noun	培根		Intermediate	
bacteria	noun	細菌	bacterium (singular form)	Intermediate	
bad	adj.	壞的、不好的、劣質的		Elementary	
badge	noun	徽章、名牌		High-Intermediate	
badly	adv.	差地、嚴重地；很、非常		Elementary	
badminton	noun	羽毛球		Elementary	
baffle	verb	困惑		High-Intermediate	
bag	noun	袋子、一袋(的量)		Elementary	
baggage	noun	行李		Intermediate	
baggy	adj.	(衣服)寬鬆的、寬大下垂的		Intermediate	
bail	noun/verb	保釋金；獲得保釋		High-Intermediate	
bait	noun/verb	魚餌、誘餌；下誘餌		Intermediate	
bake	verb	烘烤		Elementary	
bakery	noun	麵包店		Elementary	
balance	noun/verb	平衡、均衡；保持平衡		Intermediate	
balcony	noun	陽台、(劇院的)樓座		Elementary	
bald	adj.	禿頭的		Intermediate	
ball	noun	球、球狀物		Elementary	
ballet	noun	芭蕾舞、芭蕾舞劇		Intermediate	
balloon	noun	氣球		Elementary	
ballot	noun/verb	不記名投票、選票；進行不記名投票		High-Intermediate	
bamboo	noun	竹子		Intermediate	
ban	verb/noun	禁止；禁令		Intermediate	
banana	noun	香蕉		Elementary	
band	noun	樂團、樂隊；帶、細繩；(數目、年齡、價格等的)範圍		Elementary	
bandage	noun/verb	繃帶；用繃帶包紮		Intermediate	
Band-Aid	noun	OK繃	= band-aid	Intermediate	
bandit	noun	土匪、盜賊		High-Intermediate	
bang	noun/verb	重擊、巨響；撞擊、使發出巨響		Intermediate	
bank	noun	銀行；堤、岸		Elementary	
banker	noun	銀行家、莊家		Elementary	
banking	noun	處理銀行帳戶事宜、銀行業		Intermediate	
bankrupt	adj./verb/noun	破產的；使破產；破產者		Intermediate	
bankruptcy	noun	破產		High-Intermediate	
banner	noun	橫布條、橫幅廣告		High-Intermediate	
banquet	noun	宴會、盛宴		High-Intermediate	
bar	noun	條狀物、條紋、欄杆；酒吧、吧檯		Elementary	
bar	noun/verb	障礙；阻擋、禁止		Elementary	
barbarian	noun/adj.	野蠻人、無教養的人；野蠻的、野蠻人的		High-Intermediate	
barbecue	noun/verb	烤肉、烤肉架、烤肉聚會；燒烤	= Bar-B-Q = BBQ	Elementary	
barber	noun	理髮師		Elementary	
barbershop	noun	理髮店		Intermediate	
bare	adj./verb	赤裸的、無遮蔽的；使赤裸、使暴露		Intermediate	
barefoot	adj./adv.	赤腳的；赤腳地		High-Intermediate	
barely	adv.	僅、剛好、幾乎沒有		Intermediate	
bargain	noun	特價品；協議、交易		Intermediate	
bargain	verb	特價品、協議；討價還價		Intermediate	
barge	noun	大型平底船		High-Intermediate	
barge	verb	衝撞、亂闖		High-Intermediate	
bark	verb/noun	吠叫、咆哮；狗吠聲		Elementary	
bark	noun	樹皮		Elementary	
barn	noun	穀倉		Intermediate	
barometer	noun	氣壓計、指標		High-Intermediate	
barrack	verb	起哄、喝倒采		High-Intermediate	
barracks	noun	兵營、營房	單複數同形	High-Intermediate	
barrel	noun	大桶		Intermediate	
barren	adj.	貧瘠的、不毛的；不孕的；不結果實的		High-Intermediate	
barricade	noun/verb	障礙物、(設)路障；阻擋		High-Intermediate	
barrier	noun	屏障、障礙物、隔閡		Intermediate	
base	verb/noun	以...為據點、將總部設在；基地、基底、基礎		Elementary	
base	noun	(棒球運動中的)壘		Elementary	
baseball	noun	棒球		Elementary	
basement	noun	地下室		Elementary	
bash	noun/verb	猛攻、痛擊		High-Intermediate	
basic	adj.	基本的		Elementary	
basically	adv.	基本上		High-Intermediate	
basics	noun	基礎、基本需要、基本設施		High-Intermediate	
basin	noun	盆、水盆；流域；船塢、內灣		Intermediate	
basis	noun	基礎、根據		Elementary	
basket	noun	籃子、線上購物籃		Elementary	
basketball	noun	籃球		Elementary	
bass	noun/adj.	低音、男低音、低音吉他；低音的		High-Intermediate	
bastard	noun	討厭鬼、壞蛋		High-Intermediate	
bastard	noun/adj.	私生子；私生的		High-Intermediate	
bat	noun	蝙蝠		Elementary	
bat	noun/verb	球棒、球拍；用球棒或球拍擊球		Elementary	
batch	noun	一批		High-Intermediate	
bath	noun/verb	沐浴、洗澡；(給...)洗澡	動詞=bathe	Elementary	
bathe	verb	(給...)洗澡、浸泡	=bath	Elementary	
bathroom	noun	浴室、廁所		Elementary	
battalion	noun	(軍隊的)營部、隊伍		High-Intermediate	
batter	verb	連續猛擊、毆打		High-Intermediate	
batter	noun	(棒球的)打擊手；麵糊		High-Intermediate	
battery	noun	電池		Intermediate	
battle	noun/verb	戰爭、鬥爭；作戰、奮鬥		Intermediate	
battlefield	noun	戰場		High-Intermediate	
bay	noun	灣、海灣		Intermediate	
bazaar	noun	(某些東方國家的)市集；義賣		High-Intermediate	
BC	adv.	西元前	= Before Christ	Intermediate	
be	verb	是(助動詞)		Elementary	
beach	noun	海灘、湖濱		Elementary	
bead	noun	(有孔的)珠子		Intermediate	
beak	noun	鳥喙		Intermediate	
beam	noun	光線、光束		Intermediate	
beam	verb	照射、發光；高興地微笑、眉開眼笑		Intermediate	
bean	noun	豆子、豆莢，豆科植物		Elementary	
bear	noun	熊		Elementary	
bear	verb	承擔、忍受、負荷；具有；生孩子、結果實		Elementary	
beard	noun	鬍鬚		Elementary	
bearing	noun	關係、影響；舉止、風度		High-Intermediate	
beast	noun	(大型或野生的)動物、野獸；粗暴的人、兇殘的人		Intermediate	
beat	verb	打敗、戰勝；敲打、攪打		Elementary	
beat	noun	跳動聲、擊鼓聲；節拍		Elementary	
beautiful	adj.	美麗的、極好的		Elementary	
beautify	verb	美化、裝飾		High-Intermediate	
beauty	noun	美麗、美人、美好的事物		Intermediate	
because	conj.	因為	= 'cos = cos = cuz	Elementary	
beckon	verb	招手示意、舉手招喚		High-Intermediate	
become	verb	成為、變得		Elementary	
bed	noun	床、床位		Elementary	
bedroom	noun	臥室		Elementary	
bedtime	noun	就寢時間		Intermediate	
bee	noun	蜜蜂		Elementary	
beef	noun	牛肉		Elementary	
beep	noun/verb	(電子設備的)嘟嘟聲、嗶嗶聲；發出嘟嘟或嗶嗶聲		High-Intermediate	
beer	noun	啤酒		Elementary	
beetle	noun	甲蟲		Intermediate	
before	prep./conj./adv.	在…之前、先於；在...以前；曾經、在前		Elementary	
beforehand	adv.	事先、預先		High-Intermediate	
beg	verb	乞討、請求		Intermediate	
beggar	noun	乞丐		Intermediate	
beggar	verb	使貧窮、使匱乏		Intermediate	
begin	verb	開始、以...起頭		Elementary	
beginner	noun	初學者、新手		Elementary	
beginning	noun	開端、起點		Elementary	
behalf	noun	作為...的代表、代替...		High-Intermediate	L9
behave	verb	表現		Elementary	
behavior	noun	行為、舉止	= behaviour (British English)	Intermediate	
behind	prep./adv.	在…後面；在背後、在原處、落後於		Elementary	
being	noun	生命、生物；存在、生存		Intermediate	
belief	noun	相信、信念、信仰		Elementary	
believable	adj.	可信的		Intermediate	
believe	verb	相信		Elementary	
bell	noun	鈴、鐘		Elementary	
belly	noun	腹部、肚子		Intermediate	
belong	verb	屬於、應在...地方		Elementary	
belongings	noun	財務、擁有物、行李		High-Intermediate	
beloved	adj./noun	深愛的、心愛的；愛人、心上人		High-Intermediate	
below	adv./prep.	在...下面、低於		Elementary	
belt	noun	腰帶		Elementary	
bench	noun	長椅		Elementary	
bend	verb/noun	使彎曲、彎腰；彎曲處、彎道		Intermediate	
beneath	prep.	在...下面		Intermediate	
beneficial	adj.	有利的、有助的		Intermediate	L1
benefit	noun/verb	利益、好處；對...有幫助、使受惠		Intermediate	L1
bent	adj.	彎曲的、駝背的		High-Intermediate	
bent	noun	天賦		High-Intermediate	
berry	noun	莓果		Intermediate	
beside	prep.	在...旁邊		Elementary	
besides	prep./adv.	除…之外；此外、而且		Elementary	
besiege	verb	包圍、圍困		High-Intermediate	
best	adv./adj.	最、最適當地；最好的、最適當的		Elementary	
best	noun	最好的人或事		Elementary	
best	verb	打敗、戰勝		Elementary	
bet	noun/verb	賭注；打賭、賭博		Intermediate	
betray	verb	背叛、出賣、對...不忠誠		High-Intermediate	
better	adv./adj.	更、更好地；更好的、好轉的		Elementary	
better	noun	更好的事物、更好者		Elementary	
better	verb	勝過、超過		Elementary	
between	prep.	在…之間		Elementary	
beverage	noun	飲料		High-Intermediate	
beware	verb	小心、提防		High-Intermediate	
bewilder	verb	使困惑		High-Intermediate	
beyond	prep./adv.	遠於、超出；在更遠處		Elementary	
bias	noun/verb	偏見、偏袒；對...懷有偏見		High-Intermediate	L8
Bible	noun	聖經		Intermediate	
bibliography	noun	參考書目、文獻目錄		High-Intermediate	
bicycle	noun	腳踏車	= bike	Elementary	
bid	noun/verb	出價、投標、努力爭取		Intermediate	
big	adj.	大的、年齡較大的、重大的		Elementary	
bilateral	adj.	雙邊的、雙方的		High-Intermediate	
bill	noun/verb	鈔票、帳單；開立帳單		Elementary	
bill	noun	議案、法案		Elementary	
billion	noun	十億		Intermediate	
bin	noun	垃圾箱、容器、箱子		Intermediate	
bind	verb	綑綁、包紮		Intermediate	
binding	adj.	必須遵守的，有法律約束力的		High-Intermediate	
binding	noun	(書籍的)封皮、鑲邊		High-Intermediate	
bingo	noun	賓果遊戲		Intermediate	
binoculars	noun	雙筒望遠鏡		High-Intermediate	
biochemistry	noun	生物化學		High-Intermediate	
biography	noun	自傳		Intermediate	
biological	adj.	生物的、生物學的、親生的		High-Intermediate	
biology	noun	生物學		Elementary	
bird	noun	鳥		Elementary	
birdie	noun	小鳥		High-Intermediate	
birdie	noun/verb	(高爾夫球)小鳥擊、比標準桿少一桿入洞		High-Intermediate	
birth	noun	出生、起源		Intermediate	
birthday	noun	生日		Elementary	
biscuit	noun	餅乾、小麵包		Intermediate	
bit	noun	稍微、小塊、少量、一點點		Elementary	
bitch	noun	母狗；[冒犯]壞女人、潑婦		High-Intermediate	
bitch	verb	說壞話		High-Intermediate	
bite	verb/noun	咬、叮		Elementary	
bitter	adj.	有苦味的、(天氣)嚴寒的、怨恨的、令人不快的		Elementary	
bizarre	adj.	怪誕的、異乎尋常的		High-Intermediate	
black	adj./noun	黑色的；黑色		Elementary	
blackboard	noun	黑板		Elementary	
blacksmith	noun	鐵匠		High-Intermediate	
blade	noun	刀片、刀刃；(機器上旋轉的)槳片、槳葉；(草的)葉片		High-Intermediate	
blame	verb/noun	責備		Elementary	
bland	adj.	清淡的、平淡乏味的		High-Intermediate	
blank	adj./noun	空白的；空白處、空格		Elementary	
blanket	noun/verb	毛毯、毯子；以厚層覆蓋		Elementary	
blare	verb/noun	發出響亮刺耳的聲音；響亮刺耳的聲音		High-Intermediate	
blast	noun/verb	炸毀、爆破；爆炸		High-Intermediate	
blast	noun/verb	(突然發出的)響聲；發出巨大聲響		High-Intermediate	
blast	noun	狂風、強勁的氣流		High-Intermediate	
blaze	verb/noun	熊熊燃燒；大火、烈火、火焰		High-Intermediate	
blaze	verb/noun	閃耀、發亮光；燦爛		High-Intermediate	
bleach	verb/noun	漂白、使褪色；漂白劑		High-Intermediate	
bleak	adj.	荒涼的、陰冷的、暗淡無望的		High-Intermediate	
bleed	verb	流血		Intermediate	
blend	verb/noun	混合、使交融；混合物		Intermediate	
bless	verb	為…祝福		Intermediate	
blessing	noun	祝福、祝頌；幸事、好事		Intermediate	
blind	adj./verb	失明的、盲目的；使失明、蒙蔽		Elementary	
blink	verb/noun	眨眼睛		Intermediate	
blizzard	noun	暴風雪		High-Intermediate	
bloc	noun	(政治利益類似的)集團、陣營		High-Intermediate	
block	noun	街區；大樓；大塊；堵塞物、障礙物		Elementary	
block	verb	堵塞；阻擋；擋住；妨礙		Elementary	
blockade	noun/verb	包圍、封鎖		High-Intermediate	
blonde	adj./noun	金色頭髮的；金髮女郎	= blond	Intermediate	
blood	noun	血液、血統		Elementary	
bloody	adj.	流血的、血腥的		Intermediate	
bloom	noun/verb	花；開花、綻放		Intermediate	
blossom	noun/verb	花朵；開花		Intermediate	
blot	noun/verb	墨水漬、汙點；把墨水濺到、弄髒		High-Intermediate	
blot	verb	(用軟紙或布)吸乾液體		High-Intermediate	
blouse	noun	女襯衫		Elementary	
blow	verb	吹；吹奏；擤鼻子；炸毀；爆裂		Elementary	
blow	noun	吹；吹奏(樂器)；擤(鼻子)；重擊；打擊		Elementary	
blue	adj./noun	藍色的；藍色		Elementary	
blue	adj.	悲傷的、憂鬱的		Elementary	
blues	noun	藍調(音樂)		High-Intermediate	
blunder	noun/verb	粗心或愚蠢的錯誤；犯大錯		High-Intermediate	
blunt	adj.	(鉛筆、刀等)鈍的、不鋒利的；直率的、直截了當的		High-Intermediate	
blunt	verb	使變鈍、減弱		High-Intermediate	
blur	noun/verb	模糊；使模糊不清		High-Intermediate	
blush	verb/noun	臉紅		Intermediate	
board	verb/noun	上(交通工具)；在船上(或其他交通工具)		Elementary	
board	noun	木板、牌子、佈告欄、黑板或白板、棋盤		Elementary	
